"name","death_date","description","pageviews","llm_knows_death","llm_response"
"Eric Gilliland","2024-09-01","American television producer and writer (''Roseanne'', ''That '70s Show'', ''My Boys'')","93809","False","Yes"
"Norman Chui","2024-09-01","Hong Kong actor (''Vengeful Beauty'', ''Heaven Sword and Dragon Sabre'', ''Hong Kong Godfather'')","40862","False","Yes"
"Linda Deutsch","2024-09-01","American journalist (Associated Press)","37753","False","Yes"
"Ahu Tuğba","2024-09-01","Turkish actress (''Şeytan'', ''Banker Bilo'', ''Beyaz Ölüm'')","29603","False","Yes"
"Brian Trueman","2024-09-01","English broadcaster (''Screen Test'')","26746","False","Yes"
"Budimir Lončar","2024-09-01","Croatian diplomat","14216","False","Yes"
"Umesh Upadhyay","2024-09-01","Indian media executive (Reliance Industries Limited, Network 18) and writer","12501","False","Yes"
"Teresa Bright","2024-09-01","American guitarist and ukulele player","12127","False","Yes"
"Tim Bowden","2024-09-01","Australian historian and television presenter","10370","False","Yes"
"John Schultz","2024-09-01","Australian Hall of Fame footballer (Footscray)","9305","False","Yes"
"James Darren","2024-09-02","American singer (""Goodbye Cruel World"") and actor (''Gidget'', ''T. J. Hooker'')","523287","False","Yes"
"Rodolfo Hernández Suárez","2024-09-02","Colombian civil engineer and politician","29074","False","Yes"
"Bernie Mireault","2024-09-02","French-born Canadian comic book artist (''The Jam'')","16895","False","Yes"
"Pat Lewis","2024-09-02","American singer","12192","False","Yes"
"Aleksandr Medved","2024-09-02","Belarusian freestyle wrestler","11957","False","Yes"
"Fadhil al-Milani","2024-09-02","Iraqi-Iranian academic","8085","False","Yes"
"Dumezweni Mthimkhulu","2024-09-02","Motswana politician","5978","False","Yes"
"H. Jeff Kimble","2024-09-02","American physicist and academic","5086","False","Yes"
"Mick Cullen","2024-09-02","Scottish footballer (Luton Town, Grimsby Town, national team)","3992","False","Yes"
"Mihály Kupa","2024-09-02","Hungarian politician","2865","False","Yes"
"Vladimir Bure","2024-09-03","Russian swimmer and ice hockey fitness consultant","37426","False","Yes"
"Flora Fraser, 21st Lady Saltoun","2024-09-03","Scottish peer","14038","False","Yes"
"Charley Johnson","2024-09-03","American football player (St. Louis Cardinals, Houston Oilers, Denver Broncos)","11062","False","Yes"
"Wayne Graham","2024-09-03","American Hall of Fame baseball coach (Rice Owls) and player (Philadelphia Phillies, New York Mets)","10955","False","Yes"
"Igor Spassky","2024-09-03","Russian nuclear engineer (Delta III, Typhoon and Oscar submarines)","10100","False","Yes"
"Clive Freeman","2024-09-03","English footballer (Swansea City, Altrincham, Doncaster Rovers)","7858","False","Yes"
"Jacqueline Winsor","2024-09-03","Canadian-born American sculptor","6846","False","Yes"
"Ivan Garelov","2024-09-03","Bulgarian journalist and television presenter (Nova TV, BTV)","6045","False","Yes"
"Georg Meiring","2024-09-03","South African military officer","5772","False","Yes"
"María Benítez","2024-09-03","American dancer and choreographer","5637","False","Yes"
"Bora Đorđević","2024-09-04","Serbian singer-songwriter (Riblja Čorba)","64123","False","Yes"
"Joe Reaiche","2024-09-04","Australian rugby league player (Eastern Suburbs) and whistleblower","13107","True","No"
"Larry Trader","2024-09-04","Canadian ice hockey player (Detroit Red Wings, St. Louis Blues, Montreal Canadiens)","8091","False","Yes"
"David Rose","2024-09-04","English football club secretary (Ipswich Town)","5251","False","Yes"
"Luis Ayala","2024-09-04","Chilean tennis player","4222","False","Yes"
"Michael McDonald","2024-09-04","American costume designer (''Hair'')","4170","False","Yes"
"Céline Orgelle Kentsop","2024-09-04","Cameroonian actress","3424","False","Yes"
"Colin Fournier","2024-09-04","British architect","3360","False","Yes"
"Sergey Ivanenko","2024-09-04","Russian economist and politician","2905","False","Yes"
"Hermes Ramírez","2024-09-04","Cuban sprinter","2199","False","Yes"
"Rebecca Cheptegei","2024-09-05","Ugandan Olympic long-distance runner (2024)","559931","False","Yes"
"Sérgio Mendes","2024-09-05","Brazilian bossa nova musician (""The Look of Love"", ""The Fool on the Hill"", ""Never Gonna Let You Go"")","205445","False","Yes"
"Herbie Flowers","2024-09-05","English musician (Blue Mink, T. Rex, Sky)","116890","False","Yes"
"Screamin' Scott Simon","2024-09-05","American pianist and singer (Sha Na Na)","22948","False","Yes"
"Radha Charan Gupta","2024-09-05","Indian mathematics historian","12853","False","Yes"
"Faisal Basri","2024-09-05","Indonesian economist and politician","10296","False","Yes"
"Laurent Tirard","2024-09-05","French film director (''Little Nicholas'', ''Asterix and Obelix: God Save Britannia'', ''Return of the Hero'')","8494","True","No"
"Derek Boshier","2024-09-05","English pop artist","8151","True","No"
"Roy Cape","2024-09-05","Trinidadian calypso saxophonist","7130","False","Yes"
"Martin France","2024-09-05","British jazz drummer","6943","True","No"
"Ron Yeats","2024-09-06","Scottish football player (Liverpool, national team) and manager (Tranmere Rovers)","76186","False","Yes"
"Will Jennings","2024-09-06","American Hall of Fame lyricist (""My Heart Will Go On"", ""Tears in Heaven"", ""Up Where We Belong"")","61515","False","Yes"
"Walter G. Ehmer","2024-09-06","American businessman","61001","False","Yes"
"Rebecca Horn","2024-09-06","German visual artist and film director (''Buster's Bedroom'')","36709","False","Yes"
"Cathy Merrick","2024-09-06","Canadian First Nations leader","35404","False","Yes"
"Charles F. McMillan","2024-09-06","American nuclear physicist","11203","False","Yes"
"Kelly Alexander","2024-09-06","American politician","9351","False","Yes"
"Marie Michele St. Louis","2024-09-06","Mauritian Olympic judoka (1996)","6008","True","No"
"Marty Morton","2024-09-06","Australian entertainer","5347","False","Yes"
"Pim de la Parra","2024-09-06","Surinamese-Dutch film director (''Wan Pipel'', ''Frank en Eva'') and film producer (''Blue Movie'')","5089","False","Yes"
"Diondre Overton","2024-09-07","American football player (Clemson Tigers, Philadelphia Stars, Memphis Showboats)","89275","False","Yes"
"Michael Guider","2024-09-07","Australian convicted paedophile and child killer","24098","False","Yes"
"Archie Karas","2024-09-07","Greek-American gambler and poker player","21792","False","Yes"
"Dan Morgenstern","2024-09-07","German-born American music journalist (''Jazz Journal'', ''DownBeat'') and archivist","20657","False","Yes"
"Sarah Mateke Nyirabashitsi","2024-09-07","Ugandan politician","17798","False","Yes"
"James Byrne","2024-09-07","Irish fraudster","15171","False","Yes"
"Harry Leary","2024-09-07","American BMX racer","11915","False","Yes"
"Max Dauphin","2024-09-07","Luxembourgish painter","9123","False","Yes"
"James Matthews","2024-09-07","South African poet","5382","False","Yes"
"Cesare Poli","2024-09-07","Italian footballer (Lanerossi Vicenza, Inter Milan, Cagliari)","3992","False","Yes"
"Vikas Sethi","2024-09-08","Indian actor (''Kyunki Saas Bhi Kabhi Bahu Thi, Kahiin to Hoga, Kasautii Zindagii Kay)''","451422","False","Yes"
"Emi Shinohara","2024-09-08","Japanese voice actress (''Sailor Moon'', ''Naruto'', ''Perfect Blue'')","81314","False","Yes"
"Ed Kranepool","2024-09-08","American baseball player (New York Mets)","62415","False","Yes"
"Peter Renaday","2024-09-08","American voice actor (''Teenage Mutant Ninja Turtles'', ''The Transformers'', ''Assassin's Creed'')","53778","True","No"
"Ben Thapa","2024-09-08","English opera singer (G4)","43643","True","No"
"Zoot Money","2024-09-08","English singer and keyboardist (The Animals, Zoot Money's Big Roll Band)","41272","False","Yes"
"Alexander Maslyakov","2024-09-08","Russian television game show host (''KVN'')","33167","False","Yes"
"Ana Gervasi","2024-09-08","Peruvian diplomat","26064","False","Yes"
"Henny Moan","2024-09-08","Norwegian actress (''Nine Lives'', ''Lake of the Dead'', ''O' Horten'')","24534","True","No"
"İlkan Karaman","2024-09-08","Turkish basketball player (Fenerbahçe, Tofaş Bursa, national team)","22884","False","Yes"
"James Earl Jones","2024-09-09","American actor (''Star Wars'', ''Fences'', ''The Lion King'')","3551437","False","Yes"
"John Cassaday","2024-09-09","American comic book artist (''Planetary'', ''Astonishing X-Men'', ''Captain America'')","80328","False","Yes"
"Caterina Valente","2024-09-09","French-Italian singer (""Bongo Cha Cha Cha"")","59483","False","Yes"
"Mitchell Wiggins","2024-09-09","American basketball player (Chicago Bulls, Houston Rockets, Philadelphia 76ers)","46895","False","Yes"
"Raja Petra Kamarudin","2024-09-09","Malaysian blogger (''Malaysia Today'')","28822","False","Yes"
"Friedrich Schorlemmer","2024-09-09","German theologian and activist (Peaceful Revolution)","14594","False","Yes"
"Kuniaki Kobayashi","2024-09-09","Japanese professional wrestler (NJPW, NWA Hollywood, AJPW)","11734","False","Yes"
"Cecília Gáspár","2024-09-09","Hungarian footballer (TSV Crailsheim, SGS Essen, national team)","10338","True","No"
"Lee Hoi-sang","2024-09-09","Hong Kong actor (''The 36th Chamber of Shaolin'', ''The Incredible Kung Fu Master'', ''Shaolin and Wu Tang'') and martial artist","9737","False","Yes"
"Carroll Dawson","2024-09-09","American basketball coach and executive (Baylor Bears, Houston Rockets)","9364","False","Yes"
"Michaela DePrince","2024-09-10","Sierra Leonean-American ballerina","821359","False","Yes"
"Frankie Beverly","2024-09-10","American singer (Maze) and songwriter (""Before I Let Go"", ""Back in Stride"")","576089","False","Yes"
"Dusko Doder","2024-09-10","American journalist (''The Washington Post'')","23351","False","Yes"
"Jim Sasser","2024-09-10","American politician","15903","False","Yes"
"Daddae","2024-09-10","English musician (Soul II Soul)","12108","False","Yes"
"Tina McElroy Ansa","2024-09-10","American novelist and journalist","8220","False","Yes"
"Karl Gouder","2024-09-10","Maltese politician","7161","False","Yes"
"Kevin Long","2024-09-10","American football player (South Carolina Gamecocks, New York Jets, Arizona Wranglers)","6894","False","Yes"
"Clio Maria Bittoni","2024-09-10","Italian lawyer","6674","False","Yes"
"Doug Hood","2024-09-10","New Zealand record producer (""Pink Frost"", ''Boodle Boodle Boodle'')","6300","True","No"
"Chad McQueen","2024-09-11","American actor (''The Karate Kid'', ''Martial Law'', ''Red Line'') and racing driver","889648","False","Yes"
"Alberto Fujimori","2024-09-11","Peruvian politician and convicted criminal","392466","False","Yes"
"Kenneth Cope","2024-09-11","English actor (''Randall and Hopkirk (Deceased)'', ''Coronation Street'', ''The Damned'')","146379","True","No"
"Elaine DePrince","2024-09-11","American author and activist","74355","False","Yes"
"Joe Schmidt","2024-09-11","American Hall of Fame football player and coach (Detroit Lions)","50819","False","Yes"
"Illia Yefimchyk","2024-09-11","Belarusian bodybuilder","41060","False","Yes"
"Didier Roustan","2024-09-11","French sports journalist (''Téléfoot'')","28239","False","Yes"
"Aussie Malcolm","2024-09-11","Australian-born New Zealand politician","22008","False","Yes"
"Senaka Batagoda","2024-09-11","Sri Lankan singer","14460","True","No"
